State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove
Manipur,2011,22327.0,17090.0,730.0,6151.0,10209.0,,0.0
Meghalaya,2011,22429.0,17275.0,433.0,9775.0,7067.0,,0.0
Mizoram,2011,21081.0,19117.0,134.0,6086.0,12897.0,,0.0
Nagaland,2011,16579.0,13318.0,1293.0,4931.0,7094.0,,0.0
Odisha,2011,155707.0,48903.0,7060.0,21366.0,20477.0,,222.0
Punjab,2011,50362.0,1764.0,0.0,736.0,1028.0,,0.0
Rajasthan,2011,342239.0,16087.0,72.0,4448.0,11567.0,,0.0
Sikkim,2011,7096.0,3359.0,500.0,2161.0,698.0,,0.0
Tamil Nadu,2011,130058.0,23625.0,2948.0,10321.0,10356.0,,39.0
Tripura,2011,10486.0,7977.0,109.0,4686.0,3182.0,,0.0
Uttar Pradesh,2011,240928.0,14338.0,1626.0,4559.0,8153.0,,0.0
Uttarakhand,2011,53483.0,24496.0,4762.0,14167.0,5567.0,,0.0
West Bengal,2011,88752.0,12995.0,2984.0,4646.0,5365.0,,0.0
Andaman and Nicobar Islands,2011,8249.0,6724.0,3761.0,2416.0,547.0,,2155.0
Chandigarh,2011,114.0,17.0,1.0,10.0,6.0,,617.0
Dadra & Nagar Haveli,2011,491.0,211.0,0.0,114.0,97.0,,0.0
Daman & Diu,2011,112.0,6.0,0.0,0.62,5.53,,0.0
Lakshadweep,2011,32.0,27.0,0.0,17.18,9.88,,2.0
Puducherry,2011,480.0,50.0,0.0,35.37,14.69,,0.0
India,2009,3287263.0,1106453.682,83427.76,501868.0,521158.0,,4639.0
Andhra Pradesh,2009,275069.0,46670.0,850.0,26377.0,19443.0,,353.0
Arunachal Pradesh,2009,83743.0,67484.0,20873.0,31574.0,15037.0,,0.0
Assam,2009,78438.0,27692.0,1461.0,11558.0,14673.0,,0.0
Bihar,2009,94163.0,6804.0,231.0,3248.0,3325.0,,0.0
Chattisgarh,2009,135191.0,55678.0,4163.0,34911.0,16604.0,,0.0
Delhi,2009,1483.0,76.582,6.76,49.841,19.981,,0.0
Goa,2009,3702.0,2212.0,543.0,578.0,1091.0,,17.0
Gujarat,2009,196022.0,95576.0,376.0,5249.0,89951.0,,1046.0
Haryana,2009,44212.0,1594.0,27.0,463.0,1104.0,,0.0
Himachal Pradesh,2009,55673.0,14668.0,3224.0,6383.0,5061.0,,0.0
Jammu & Kashmir,2009,222236.0,22537.0,4140.0,8760.0,9637.0,,0.0
Jharkhand,2009,79714.0,22894.0,2590.0,9899.0,10405.0,,0.0
Karnataka,2009,191791.0,245911.0,1777.0,201811.0,42323.0,,3.0
Kerala,2009,38863.0,17324.0,1443.0,9410.0,6471.0,,5.0
Madhya Pradesh,2009,308245.0,77700.0,6647.0,35007.0,36046.0,,0.0
Maharashtra,2009,307713.0,50650.0,8739.0,20834.0,21077.0,,186.0
Manipur,2009,22327.0,17280.0,701.0,5474.0,11105.0,,0.0
Meghalaya,2009,22429.0,17321.0,410.0,9501.0,7410.0,,0.0
Mizoram,2009,21081.0,19183.0,134.0,6149.0,12900.0,,0.0
