State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove,SO2,NO2,RSPM,SPM,PM25,Annual Rainfall
Punjab,2001,50362.0,2432.0,1549.0,0.0,883.0,30.0,0.0,1422.1000000000006,2884.5999999999995,0.0,15569.0,0.0,441.0
Punjab,2003,50362.0,1580.0,0.0,743.0,837.0,22.0,0.0,4174.0,12855.0,85353.0,0.0,0.0,424.6
Punjab,2005,50362.0,1558.0,0.0,723.0,835.0,15.0,0.0,16470.599999999984,34192.6,191407.0,26942.0,0.0,552.0
Punjab,2007,50362.0,1664.0,0.0,733.0,931.0,20.0,0.0,24585.299999999872,71037.10000000024,311504.0,178322.0,0.0,594.8
Punjab,2009,50362.0,1664.0,0.0,733.0,931.0,0.0,0.0,16396.099999999944,50671.100000000195,248342.0,119153.0,0.0,361.2
Punjab,2011,50362.0,1764.0,0.0,736.0,1028.0,0.0,0.0,22240.59999999988,56985.200000000565,359959.0,110.0,0.0,705.2
Punjab,2013,50362.0,1772.0,0.0,736.0,1036.0,37.0,0.0,25679.0,67681.5,423576.0,0.0,0.0,586.6
Punjab,2015,50362.0,1771.0,0.0,735.0,1036.0,37.0,0.0,21039.0,62786.0,338457.0,0.0,0.0,510.8
Punjab,2017,50362.0,1837.0,8.0,806.0,1023.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,497.5
Punjab,2019,50362.0,1849.0,8.0,801.0,1040.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan,1987,342239.0,12478.0,3048.0,0.0,9430.0,0.0,0.0,384.8,1515.4,0.0,7840.0,0.0,143.0
Rajasthan,1987,342239.0,12478.0,3048.0,0.0,9430.0,0.0,0.0,384.8,1515.4,0.0,7840.0,0.0,435.7
Rajasthan,1989,342239.0,12966.0,2902.0,0.0,10064.0,0.0,0.0,659.3,4326.5999999999985,0.0,10387.0,0.0,248.1
Rajasthan,1989,342239.0,12966.0,2902.0,0.0,10064.0,0.0,0.0,659.3,4326.5999999999985,0.0,10387.0,0.0,510.5
Rajasthan,1991,342239.0,12835.0,3027.0,0.0,9808.0,6872.0,0.0,1059.5000000000002,4867.200000000004,0.0,12256.0,0.0,179.0
